time,close,high,low,open,volumefrom,volumeto
1520212680,0.0345,0.0345,0.0343,0.0343,38081.42,1311.35
1520212740,0.0344,0.0345,0.0344,0.0345,49689.88,1710.41
1520212800,0.0345,0.0345,0.0344,0.0344,3146.55,108.56
1520212860,0.0344,0.0345,0.0344,0.0345,898.81,30.92
1520212920,0.0344,0.0344,0.0344,0.0344,0,0
1520212980,0.0344,0.0344,0.0344,0.0344,0,0
1520213040,0.0344,0.0344,0.0344,0.0344,0,0
1520213100,0.0345,0.0345,0.0344,0.0344,8123.12,280.25
1520213160,0.0345,0.0345,0.0345,0.0345,0,0
1520213220,0.0345,0.0345,0.0345,0.0345,0,0
1520213280,0.0345,0.0345,0.0345,0.0345,3643.55,125.7
1520213340,0.0344,0.0345,0.0344,0.0345,44708.1,1537.96
1520213400,0.0344,0.0345,0.0343,0.0344,146607.35,5041.2
1520213460,0.0344,0.0345,0.0343,0.0344,59215.37,2034.67
1520213520,0.0344,0.0344,0.0343,0.0344,29279.11,1006.76
1520213580,0.0343,0.0344,0.0343,0.0344,26840.56,922.65
1520213640,0.0344,0.0344,0.0343,0.0343,94330.58,3244.49
1520213700,0.0344,0.0344,0.0344,0.0344,2363.17,81.29
1520213760,0.0344,0.0344,0.0344,0.0344,0,0
1520213820,0.0344,0.0344,0.0344,0.0344,0,0
1520213880,0.0343,0.0344,0.0343,0.0344,219163.86,7517.32
1520213940,0.0343,0.0343,0.0343,0.0343,16810.15,576.59
1520214000,0.0344,0.0344,0.0342,0.0343,107278.62,3682.62
1520214060,0.0342,0.0344,0.0342,0.0344,540157,18484.14
1520214120,0.0343,0.0343,0.0342,0.0342,165476.24,5675.21
1520214180,0.0342,0.0343,0.0342,0.0343,183323.78,6274.6
1520214240,0.0341,0.0342,0.0341,0.0342,28910.33,986.44
1520214300,0.0341,0.0342,0.0341,0.0341,37621.29,1283.91
1520214360,0.0342,0.0342,0.0341,0.0341,4940.47,168.96
1520214420,0.0343,0.0343,0.0342,0.0342,3000,102.9
1520214480,0.0343,0.0343,0.0343,0.0343,5487.56,188.22
1520214540,0.0343,0.0343,0.0343,0.0343,20542.24,704.6
1520214600,0.0343,0.0343,0.0343,0.0343,970.24,33.28
1520214660,0.0343,0.0343,0.0343,0.0343,0,0
